epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9537,0,111.495,0,0,0,0,0,0,145.45,0,5.555e-05,5.555e-05,5.555e-05
2,93.5213,0,108.621,0,0,0,0,0,0,144.929,0,0.00011979,0.00011979,0.00011979
3,120.717,0,104.882,0,0,0,0,0,0,143.626,0,0.000181391,0.000181391,0.000181391
4,147.963,0,100.936,0,0,0,0,0,0,142.382,0,0.000240352,0.000240352,0.000240352
5,175.082,0,97.5791,0,0,0,0,0,0,140.643,0,0.000296673,0.000296673,0.000296673
6,201.986,0,94.9116,0,0,0,0,0,0,137.389,0,0.000350354,0.000350354,0.000350354
7,229.136,0,91.2888,0,0,0,0,0,0,129.623,0,0.000401395,0.000401395,0.000401395
8,255.877,0,88.3404,0,0,0,0,0,0,122.471,0,0.000449797,0.000449797,0.000449797
9,282.39,0,85.3925,0,0,0,0,0,0,113.668,0,0.000495559,0.000495559,0.000495559
10,309.357,0,84.1592,0,0,0,0,0,0,109.228,0,0.000538682,0.000538682,0.000538682
11,336.369,0,82.511,0,0,0,0,0,0,105.29,0,0.000579164,0.000579164,0.000579164
12,362.987,0,80.6785,0,0,0,0,0,0,99.9535,0,0.000617007,0.000617007,0.000617007
13,389.581,0,79.9445,0,0,0,0,0,0,94.8399,0,0.00065221,0.00065221,0.00065221
14,417.231,0,77.8606,0,0,0,0,0,0,89.8025,0,0.000684774,0.000684774,0.000684774
15,444.551,0,76.6918,0,0,0,0,0,0,87.0245,0,0.000714697,0.000714697,0.000714697
16,471.458,0,75.26,0,0,0,0,0,0,86.874,0,0.000741981,0.000741981,0.000741981
17,506.27,0,73.9823,0,0,0,0,0,0,86.4353,0,0.000759035,0.000759035,0.000759035
18,542.254,0,72.7581,0,0,0,0,0,0,85.6417,0,0.000737037,0.000737037,0.000737037
19,579.039,0,71.6002,0,0,0,0,0,0,88.0732,0,0.00071504,0.00071504,0.00071504
20,619.016,0,70.3275,0,0,0,0,0,0,146.333,0,0.000693042,0.000693042,0.000693042
21,657.518,0,69.3624,0,0,0,0,0,0,89.7349,0,0.000671044,0.000671044,0.000671044
22,683.631,0,68.3068,0,0,0,0,0,0,99.6595,0,0.000649046,0.000649046,0.000649046
23,710.027,0,67.252,0,0,0,0,0,0,86.8246,0,0.000627048,0.000627048,0.000627048
24,736.452,0,66.5547,0,0,0,0,0,0,87.0772,0,0.000605051,0.000605051,0.000605051
25,763.303,0,65.2219,0,0,0,0,0,0,86.1528,0,0.000583053,0.000583053,0.000583053
26,790.113,0,64.4715,0,0,0,0,0,0,85.1819,0,0.000561055,0.000561055,0.000561055
27,816.625,0,63.6102,0,0,0,0,0,0,84.7471,0,0.000539057,0.000539057,0.000539057
28,842.864,0,62.8104,0,0,0,0,0,0,84.3113,0,0.000517059,0.000517059,0.000517059
29,869.275,0,61.9856,0,0,0,0,0,0,84.1605,0,0.000495062,0.000495062,0.000495062
30,895.674,0,61.3076,0,0,0,0,0,0,83.0216,0,0.000473064,0.000473064,0.000473064
31,921.924,0,60.5112,0,0,0,0,0,0,82.5466,0,0.000451066,0.000451066,0.000451066
32,949.334,0,59.92,0,0,0,0,0,0,81.6669,0,0.000429068,0.000429068,0.000429068
33,979.03,0,59.2746,0,0,0,0,0,0,81.3271,0,0.00040707,0.00040707,0.00040707
34,1043.62,0,58.8354,0,0,0,0,0,0,81.295,0,0.000385073,0.000385073,0.000385073
35,1131.44,0,58.128,0,0,0,0,0,0,81.1139,0,0.000363075,0.000363075,0.000363075
36,1219.93,0,57.6694,0,0,0,0,0,0,80.7093,0,0.000341077,0.000341077,0.000341077
37,1262.71,0,57.163,0,0,0,0,0,0,80.4755,0,0.000319079,0.000319079,0.000319079
38,1298.19,0,56.7712,0,0,0,0,0,0,79.9046,0,0.000297081,0.000297081,0.000297081
39,1334.26,0,56.287,0,0,0,0,0,0,79.6795,0,0.000275084,0.000275084,0.000275084
40,1370.5,0,56.0037,0,0,0,0,0,0,79.4118,0,0.000253086,0.000253086,0.000253086
41,1407.58,0,55.555,0,0,0,0,0,0,79.2808,0,0.000231088,0.000231088,0.000231088
42,1442.95,0,55.2997,0,0,0,0,0,0,78.7855,0,0.00020909,0.00020909,0.00020909
43,1478.97,0,54.9203,0,0,0,0,0,0,78.3772,0,0.000187092,0.000187092,0.000187092
44,1516.34,0,54.6733,0,0,0,0,0,0,77.7031,0,0.000165095,0.000165095,0.000165095
45,1552.46,0,54.4751,0,0,0,0,0,0,77.3615,0,0.000143097,0.000143097,0.000143097
46,1587.58,0,54.2379,0,0,0,0,0,0,76.9821,0,0.000121099,0.000121099,0.000121099
47,1626.74,0,54.0706,0,0,0,0,0,0,76.8384,0,9.91012e-05,9.91012e-05,9.91012e-05
48,1670.17,0,53.9821,0,0,0,0,0,0,76.5727,0,7.71034e-05,7.71034e-05,7.71034e-05
49,1718.97,0,53.8236,0,0,0,0,0,0,76.3847,0,5.51056e-05,5.51056e-05,5.51056e-05
50,1762.88,0,53.8167,0,0,0,0,0,0,76.2247,0,3.31078e-05,3.31078e-05,3.31078e-05
